bin,mean_centrality,mean_risk,share_top10,n,country
1,0.6667826559410506,0.3957157055508263,0.0898876404494382,178,Thailand
2,0.6913550668819032,0.391497976163212,0.102803738317757,214,Thailand
3,0.7054754680824697,0.3894736523295589,0.1111111111111111,126,Thailand
4,0.7173265309780802,0.3771059426248676,0.037037037037037035,189,Thailand
5,0.7320260275089039,0.397709995565183,0.18396226415094338,212,Thailand
6,0.740699275619547,0.3885541911564538,0.05217391304347826,115,Thailand
7,0.7585461549419569,0.3701270485090136,0.06965174129353234,201,Thailand
8,0.7662145760245098,0.4065649214914626,0.16176470588235295,136,Thailand
9,0.7968430017087054,0.4034341083476596,0.15,160,Thailand
10,0.909945343121212,0.39043272921667344,0.030303030303030304,165,Thailand
1,0.5649982940461387,0.37960701809434494,0.11917098445595854,193,Vietnam
2,0.6237393854296812,0.3844692341771042,0.1813953488372093,215,Vietnam
3,0.6406579385840456,0.37711330163091444,0.1111111111111111,117,Vietnam
4,0.6745729783129937,0.362247858858833,0.07425742574257425,202,Vietnam
5,0.6887050384379252,0.35833236259682544,0.023809523809523808,168,Vietnam
6,0.7128652592603231,0.35334492276264495,0.04516129032258064,155,Vietnam
7,0.7233397638615023,0.3576876737027418,0.07042253521126761,213,Vietnam
8,0.7495682397463646,0.38000857081178674,0.1223021582733813,139,Vietnam
9,0.8262587084858805,0.3834362391970274,0.1511627906976744,172,Vietnam
10,0.9544584227899686,0.37013016184174635,0.04597701149425287,174,Vietnam
