description,title,notified_document,hs4,year,month,notif_count,exposure_w
"1 August 2023 - 88 FR (Federal Register) 50056, 49 CFR (Code of Federal Regulations) Part 192 and 195https://www.govinfo.gov/content/pkg/FR-2023-08-01/html/2023-15904.htm_x000D_ https://www.govinfo.gov/content/pkg/FR-2023-08-01/pdf/2023-15904.pdfAGENCY: Pipeline and Hazardous Materials Safety Administration (PHMSA), Department of Transportation (DOT).ACTION: Correcting amendments.SUMMARY: PHMSA is issuing editorial and technical corrections clarifying the regulations promulgated in its 8 April 2022, final rule titled ""Pipeline Safety: Requirement of Valve Installation and Minimum Rupture Detection Standards” for certain gas, hazardous liquid, and carbon dioxide pipelines (notified in G/TBT/N/USA/1576/Add.1). The final rule also codifies the results of judicial review of that final rule.DATES: These corrections are effective as of 1 August 2023.These correcting amendments to the 8 April 2022 final rule and the notice of proposed rulemaking notified as G/TBT/N/USA/1576 are identified by Docket Number PHMSA-2013-0255. The Docket Folder is available on Regulations.gov at https://www.regulations.gov/docket/PHMSA-2013-0255/document and provides access to primary and supporting documents as well as comments received. Documents are also accessible from Regulations.gov by searching the Docket Number.",Pipeline Safety: Valve Installation and Minimum Rupture Detection Standards: Technical Corrections,https://members.wto.org/crnattachments/2023/TBT/USA/23_11441_00_e.pdf,3917,2023,8,1,0.41537348489522785
"1 August 2023 - 88 FR (Federal Register) 50056, 49 CFR (Code of Federal Regulations) Part 192 and 195https://www.govinfo.gov/content/pkg/FR-2023-08-01/html/2023-15904.htm_x000D_ https://www.govinfo.gov/content/pkg/FR-2023-08-01/pdf/2023-15904.pdfAGENCY: Pipeline and Hazardous Materials Safety Administration (PHMSA), Department of Transportation (DOT).ACTION: Correcting amendments.SUMMARY: PHMSA is issuing editorial and technical corrections clarifying the regulations promulgated in its 8 April 2022, final rule titled ""Pipeline Safety: Requirement of Valve Installation and Minimum Rupture Detection Standards” for certain gas, hazardous liquid, and carbon dioxide pipelines (notified in G/TBT/N/USA/1576/Add.1). The final rule also codifies the results of judicial review of that final rule.DATES: These corrections are effective as of 1 August 2023.These correcting amendments to the 8 April 2022 final rule and the notice of proposed rulemaking notified as G/TBT/N/USA/1576 are identified by Docket Number PHMSA-2013-0255. The Docket Folder is available on Regulations.gov at https://www.regulations.gov/docket/PHMSA-2013-0255/document and provides access to primary and supporting documents as well as comments received. Documents are also accessible from Regulations.gov by searching the Docket Number.",Pipeline Safety: Valve Installation and Minimum Rupture Detection Standards: Technical Corrections,https://members.wto.org/crnattachments/2023/TBT/USA/23_11441_00_e.pdf,4009,2023,8,1,0.20924920833019184
"1 August 2023 - 88 FR (Federal Register) 50056, 49 CFR (Code of Federal Regulations) Part 192 and 195https://www.govinfo.gov/content/pkg/FR-2023-08-01/html/2023-15904.htm_x000D_ https://www.govinfo.gov/content/pkg/FR-2023-08-01/pdf/2023-15904.pdfAGENCY: Pipeline and Hazardous Materials Safety Administration (PHMSA), Department of Transportation (DOT).ACTION: Correcting amendments.SUMMARY: PHMSA is issuing editorial and technical corrections clarifying the regulations promulgated in its 8 April 2022, final rule titled ""Pipeline Safety: Requirement of Valve Installation and Minimum Rupture Detection Standards” for certain gas, hazardous liquid, and carbon dioxide pipelines (notified in G/TBT/N/USA/1576/Add.1). The final rule also codifies the results of judicial review of that final rule.DATES: These corrections are effective as of 1 August 2023.These correcting amendments to the 8 April 2022 final rule and the notice of proposed rulemaking notified as G/TBT/N/USA/1576 are identified by Docket Number PHMSA-2013-0255. The Docket Folder is available on Regulations.gov at https://www.regulations.gov/docket/PHMSA-2013-0255/document and provides access to primary and supporting documents as well as comments received. Documents are also accessible from Regulations.gov by searching the Docket Number.",Pipeline Safety: Valve Installation and Minimum Rupture Detection Standards: Technical Corrections,https://members.wto.org/crnattachments/2023/TBT/USA/23_11441_00_e.pdf,7304,2023,8,1,0.25407035287237034
"1 August 2023 - 88 FR (Federal Register) 50056, 49 CFR (Code of Federal Regulations) Part 192 and 195https://www.govinfo.gov/content/pkg/FR-2023-08-01/html/2023-15904.htm_x000D_ https://www.govinfo.gov/content/pkg/FR-2023-08-01/pdf/2023-15904.pdfAGENCY: Pipeline and Hazardous Materials Safety Administration (PHMSA), Department of Transportation (DOT).ACTION: Correcting amendments.SUMMARY: PHMSA is issuing editorial and technical corrections clarifying the regulations promulgated in its 8 April 2022, final rule titled ""Pipeline Safety: Requirement of Valve Installation and Minimum Rupture Detection Standards” for certain gas, hazardous liquid, and carbon dioxide pipelines (notified in G/TBT/N/USA/1576/Add.1). The final rule also codifies the results of judicial review of that final rule.DATES: These corrections are effective as of 1 August 2023.These correcting amendments to the 8 April 2022 final rule and the notice of proposed rulemaking notified as G/TBT/N/USA/1576 are identified by Docket Number PHMSA-2013-0255. The Docket Folder is available on Regulations.gov at https://www.regulations.gov/docket/PHMSA-2013-0255/document and provides access to primary and supporting documents as well as comments received. Documents are also accessible from Regulations.gov by searching the Docket Number.",Pipeline Safety: Valve Installation and Minimum Rupture Detection Standards: Technical Corrections,https://members.wto.org/crnattachments/2023/TBT/USA/23_11441_00_e.pdf,7305,2023,8,1,0.3179696665692651
"1 August 2023 - 88 FR (Federal Register) 50056, 49 CFR (Code of Federal Regulations) Part 192 and 195https://www.govinfo.gov/content/pkg/FR-2023-08-01/html/2023-15904.htm_x000D_ https://www.govinfo.gov/content/pkg/FR-2023-08-01/pdf/2023-15904.pdfAGENCY: Pipeline and Hazardous Materials Safety Administration (PHMSA), Department of Transportation (DOT).ACTION: Correcting amendments.SUMMARY: PHMSA is issuing editorial and technical corrections clarifying the regulations promulgated in its 8 April 2022, final rule titled ""Pipeline Safety: Requirement of Valve Installation and Minimum Rupture Detection Standards” for certain gas, hazardous liquid, and carbon dioxide pipelines (notified in G/TBT/N/USA/1576/Add.1). The final rule also codifies the results of judicial review of that final rule.DATES: These corrections are effective as of 1 August 2023.These correcting amendments to the 8 April 2022 final rule and the notice of proposed rulemaking notified as G/TBT/N/USA/1576 are identified by Docket Number PHMSA-2013-0255. The Docket Folder is available on Regulations.gov at https://www.regulations.gov/docket/PHMSA-2013-0255/document and provides access to primary and supporting documents as well as comments received. Documents are also accessible from Regulations.gov by searching the Docket Number.",Pipeline Safety: Valve Installation and Minimum Rupture Detection Standards: Technical Corrections,https://members.wto.org/crnattachments/2023/TBT/USA/23_11441_00_e.pdf,7306,2023,8,1,0.30545734721269224
"1 August 2023 - 88 FR (Federal Register) 50056, 49 CFR (Code of Federal Regulations) Part 192 and 195https://www.govinfo.gov/content/pkg/FR-2023-08-01/html/2023-15904.htm_x000D_ https://www.govinfo.gov/content/pkg/FR-2023-08-01/pdf/2023-15904.pdfAGENCY: Pipeline and Hazardous Materials Safety Administration (PHMSA), Department of Transportation (DOT).ACTION: Correcting amendments.SUMMARY: PHMSA is issuing editorial and technical corrections clarifying the regulations promulgated in its 8 April 2022, final rule titled ""Pipeline Safety: Requirement of Valve Installation and Minimum Rupture Detection Standards” for certain gas, hazardous liquid, and carbon dioxide pipelines (notified in G/TBT/N/USA/1576/Add.1). The final rule also codifies the results of judicial review of that final rule.DATES: These corrections are effective as of 1 August 2023.These correcting amendments to the 8 April 2022 final rule and the notice of proposed rulemaking notified as G/TBT/N/USA/1576 are identified by Docket Number PHMSA-2013-0255. The Docket Folder is available on Regulations.gov at https://www.regulations.gov/docket/PHMSA-2013-0255/document and provides access to primary and supporting documents as well as comments received. Documents are also accessible from Regulations.gov by searching the Docket Number.",Pipeline Safety: Valve Installation and Minimum Rupture Detection Standards: Technical Corrections,https://members.wto.org/crnattachments/2023/TBT/USA/23_11441_00_e.pdf,7307,2023,8,1,0.27845541151691555
"1 August 2023 - 88 FR (Federal Register) 50056, 49 CFR (Code of Federal Regulations) Part 192 and 195https://www.govinfo.gov/content/pkg/FR-2023-08-01/html/2023-15904.htm_x000D_ https://www.govinfo.gov/content/pkg/FR-2023-08-01/pdf/2023-15904.pdfAGENCY: Pipeline and Hazardous Materials Safety Administration (PHMSA), Department of Transportation (DOT).ACTION: Correcting amendments.SUMMARY: PHMSA is issuing editorial and technical corrections clarifying the regulations promulgated in its 8 April 2022, final rule titled ""Pipeline Safety: Requirement of Valve Installation and Minimum Rupture Detection Standards” for certain gas, hazardous liquid, and carbon dioxide pipelines (notified in G/TBT/N/USA/1576/Add.1). The final rule also codifies the results of judicial review of that final rule.DATES: These corrections are effective as of 1 August 2023.These correcting amendments to the 8 April 2022 final rule and the notice of proposed rulemaking notified as G/TBT/N/USA/1576 are identified by Docket Number PHMSA-2013-0255. The Docket Folder is available on Regulations.gov at https://www.regulations.gov/docket/PHMSA-2013-0255/document and provides access to primary and supporting documents as well as comments received. Documents are also accessible from Regulations.gov by searching the Docket Number.",Pipeline Safety: Valve Installation and Minimum Rupture Detection Standards: Technical Corrections,https://members.wto.org/crnattachments/2023/TBT/USA/23_11441_00_e.pdf,7412,2023,8,1,0.2530211661422846
"1 August 2023 - 88 FR (Federal Register) 50056, 49 CFR (Code of Federal Regulations) Part 192 and 195https://www.govinfo.gov/content/pkg/FR-2023-08-01/html/2023-15904.htm_x000D_ https://www.govinfo.gov/content/pkg/FR-2023-08-01/pdf/2023-15904.pdfAGENCY: Pipeline and Hazardous Materials Safety Administration (PHMSA), Department of Transportation (DOT).ACTION: Correcting amendments.SUMMARY: PHMSA is issuing editorial and technical corrections clarifying the regulations promulgated in its 8 April 2022, final rule titled ""Pipeline Safety: Requirement of Valve Installation and Minimum Rupture Detection Standards” for certain gas, hazardous liquid, and carbon dioxide pipelines (notified in G/TBT/N/USA/1576/Add.1). The final rule also codifies the results of judicial review of that final rule.DATES: These corrections are effective as of 1 August 2023.These correcting amendments to the 8 April 2022 final rule and the notice of proposed rulemaking notified as G/TBT/N/USA/1576 are identified by Docket Number PHMSA-2013-0255. The Docket Folder is available on Regulations.gov at https://www.regulations.gov/docket/PHMSA-2013-0255/document and provides access to primary and supporting documents as well as comments received. Documents are also accessible from Regulations.gov by searching the Docket Number.",Pipeline Safety: Valve Installation and Minimum Rupture Detection Standards: Technical Corrections,https://members.wto.org/crnattachments/2023/TBT/USA/23_11441_00_e.pdf,7609,2023,8,1,0.24335592610056753
"1 August 2023 - 88 FR (Federal Register) 50056, 49 CFR (Code of Federal Regulations) Part 192 and 195https://www.govinfo.gov/content/pkg/FR-2023-08-01/html/2023-15904.htm_x000D_ https://www.govinfo.gov/content/pkg/FR-2023-08-01/pdf/2023-15904.pdfAGENCY: Pipeline and Hazardous Materials Safety Administration (PHMSA), Department of Transportation (DOT).ACTION: Correcting amendments.SUMMARY: PHMSA is issuing editorial and technical corrections clarifying the regulations promulgated in its 8 April 2022, final rule titled ""Pipeline Safety: Requirement of Valve Installation and Minimum Rupture Detection Standards” for certain gas, hazardous liquid, and carbon dioxide pipelines (notified in G/TBT/N/USA/1576/Add.1). The final rule also codifies the results of judicial review of that final rule.DATES: These corrections are effective as of 1 August 2023.These correcting amendments to the 8 April 2022 final rule and the notice of proposed rulemaking notified as G/TBT/N/USA/1576 are identified by Docket Number PHMSA-2013-0255. The Docket Folder is available on Regulations.gov at https://www.regulations.gov/docket/PHMSA-2013-0255/document and provides access to primary and supporting documents as well as comments received. Documents are also accessible from Regulations.gov by searching the Docket Number.",Pipeline Safety: Valve Installation and Minimum Rupture Detection Standards: Technical Corrections,https://members.wto.org/crnattachments/2023/TBT/USA/23_11441_00_e.pdf,7805,2023,8,1,0.24063166342581632
"1 August 2023 - 88 FR (Federal Register) 50056, 49 CFR (Code of Federal Regulations) Part 192 and 195https://www.govinfo.gov/content/pkg/FR-2023-08-01/html/2023-15904.htm_x000D_ https://www.govinfo.gov/content/pkg/FR-2023-08-01/pdf/2023-15904.pdfAGENCY: Pipeline and Hazardous Materials Safety Administration (PHMSA), Department of Transportation (DOT).ACTION: Correcting amendments.SUMMARY: PHMSA is issuing editorial and technical corrections clarifying the regulations promulgated in its 8 April 2022, final rule titled ""Pipeline Safety: Requirement of Valve Installation and Minimum Rupture Detection Standards” for certain gas, hazardous liquid, and carbon dioxide pipelines (notified in G/TBT/N/USA/1576/Add.1). The final rule also codifies the results of judicial review of that final rule.DATES: These corrections are effective as of 1 August 2023.These correcting amendments to the 8 April 2022 final rule and the notice of proposed rulemaking notified as G/TBT/N/USA/1576 are identified by Docket Number PHMSA-2013-0255. The Docket Folder is available on Regulations.gov at https://www.regulations.gov/docket/PHMSA-2013-0255/document and provides access to primary and supporting documents as well as comments received. Documents are also accessible from Regulations.gov by searching the Docket Number.",Pipeline Safety: Valve Installation and Minimum Rupture Detection Standards: Technical Corrections,https://members.wto.org/crnattachments/2023/TBT/USA/23_11441_00_e.pdf,7906,2023,8,1,0.24172036667745772
