notifying_member,distribution_date,title,description,products_covered,hs_code_s,ics_code_s,objectives,objectives_free_text,keywords,specific_regions_or_countries_likely_to_be_affected,final_date_for_comments,proposed_adoption_date,proposed_entry_into_force_date,notification_type,notified_document,technical_regulation_article_2_9_2,technical_regulation_urgent_article_2_10_1,conformity_assessment_procedure_article_5_6_2,conformity_assessment_procedure_urgent_article_5_7_1,technical_regulation_local_government_article_3_2,conformity_assessment_procedure_local_government_article_7_2,other,relevant_documents,codex_alimentarius_commision,world_organization_for_animal_health_oie,international_plant_protection_convention,none,does_this_proposed_regulation_conform_to_the_relevant_international_standard,if_no_describe_whenever_possible_how_and_why_it_deviates_from_the_international_standard,products_covered_raw,ics_codes_raw,hs_codes_raw,ics_list,hs_list,is_sps,is_tbt,year,month,text,p_hat
United States of America,2023-09-27 00:00:00+00:00,Animal Confinement,"New guidance documents posted to Animal Care Program's website1. Egg Producer On-Site Inspection Guidance2. Pork Producer On-Site Inspection GuidanceVisit Animal Care Program's website for more information. Click on ""Guidance Documents"" on the right-hand side to review guidance for all stakeholders. Reminder: Egg, Pork and Veal Producers are required to be third-party certified by 1 January 2024. Refer to Animal Confinement Important Dates guidance document. Animal Care Program's website:_x000D_ https://www.cdfa.ca.gov/AHFSS/AnimalCare/Questions:_x000D_ AnimalCare@cdfa.ca.gov_x000D_",Animal confinement,01 - LIVE ANIMALS; 01 - LIVE ANIMALS,03.120 - Quality; 03.120 - Quality; 65.020 - Farming and forestry; 65.020 - Farming and forestry,Protection of animal or plant life or health (TBT); Quality requirements (TBT),,Animal health,,,,,Addendum to Regular Notification,Animal Care Program https://www.cdfa.ca.gov/AHFSS/AnimalCare/,No,No,No,No,Yes,Yes,No,,,,,,,,Animal confinement,03.120 - Quality; 03.120 - Quality; 65.020 - Farming and forestry; 65.020 - Farming and forestry,01 - LIVE ANIMALS; 01 - LIVE ANIMALS,"['03.120', '03.120', '65.020', '65.020']",[],False,True,2023,9,"Animal Confinement

New guidance documents posted to Animal Care Program's website1. Egg Producer On-Site Inspection Guidance2. Pork Producer On-Site Inspection GuidanceVisit Animal Care Program's website for more information. Click on ""Guidance Documents"" on the right-hand side to review guidance for all stakeholders. Reminder: Egg, Pork and Veal Producers are required to be third-party certified by 1 January 2024. Refer to Animal Confinement Important Dates guidance document. Animal Care Program's website:_x000D_ https://www.cdfa.ca.gov/AHFSS/AnimalCare/Questions:_x000D_ AnimalCare@cdfa.ca.gov_x000D_",0.22579783090794264
United States of America,2024-01-05 00:00:00+00:00,Proposed Amendments to the Heavy-Duty Engine and Vehicle Omnibus Regulation,"The California Air Resources Board (CARB) has posted new guidance documents for manufacturers, dealers, upfitters, and buyers to clarify when a heavy-duty engine must be California-certified and subject to the California Averaging, Banking and Trading program requirements (fully offset) under Title 13, California Code of Regulations, Sections 1956.8(b) and 2015(r). These guidance documents provide additional information to assist stakeholders in planning efforts to comply with the Heavy-Duty Engine and Vehicle Omnibus (Omnibus) regulation:Clarifications for California Truck Dealers Regarding Sales Outside CaliforniaCARB Responses Regarding Requests for Enforcement Discretion for Advanced Clean Fleets and Omnibus RegulationsWhile these documents are intended to help with compliance efforts, it is the sole responsibility of each regulated entity to ensure compliance with the Omnibus regulation.In July 2023, CARB announced a Clean Truck Partnership with the nation’s leading truck manufacturers and the Truck and Engine Manufacturers Association. CARB has created a website to track the status and outcome of commitments made as part of that partnership: Clean Truck Partnership CommitmentsIn August 2023, CARB staff proposed amendments to the Omnibus regulation to provide additional compliance flexibilities in the 2024 through 2026 model year timeframe, while maintaining the emissions benefits of the Omnibus regulation. CARB’s Executive Officer signed Executive Order R-23-006 of the Omnibus Amendments Regulation, approving the proposed amendments, on 28 December 2023.",Heavy-duty engines; Environmental protection (ICS code(s): 13.020); Air quality (ICS code(s): 13.040); Special purpose vehicles (ICS code(s): 43.160),,13.020 - Environmental protection; 13.040 - Air quality; 43.160 - Special purpose vehicles; 13.020 - Environmental protection; 13.040 - Air quality; 43.160 - Special purpose vehicles,Protection of the environment (TBT),,,,,,,Addendum to Regular Notification,Guidance Documents Available for the Heavy-Duty Engine and Vehicle Omnibus Regulation Heavy-Duty Low NOx Resources: https://ww2.arb.ca.gov/our-work/programs/heavy-duty-low-nox/resources,No,No,No,No,Yes,No,No,,,,,,,,Heavy-duty engines; Environmental protection (ICS code(s): 13.020); Air quality (ICS code(s): 13.040); Special purpose vehicles (ICS code(s): 43.160),13.020 - Environmental protection; 13.040 - Air quality; 43.160 - Special purpose vehicles; 13.020 - Environmental protection; 13.040 - Air quality; 43.160 - Special purpose vehicles,,"['13.020', '13.040', '43.160', '13.020', '13.040', '43.160']",[],False,True,2024,1,"Proposed Amendments to the Heavy-Duty Engine and Vehicle Omnibus Regulation

The California Air Resources Board (CARB) has posted new guidance documents for manufacturers, dealers, upfitters, and buyers to clarify when a heavy-duty engine must be California-certified and subject to the California Averaging, Banking and Trading program requirements (fully offset) under Title 13, California Code of Regulations, Sections 1956.8(b) and 2015(r). These guidance documents provide additional information to assist stakeholders in planning efforts to comply with the Heavy-Duty Engine and Vehicle Omnibus (Omnibus) regulation:Clarifications for California Truck Dealers Regarding Sales Outside CaliforniaCARB Responses Regarding Requests for Enforcement Discretion for Advanced Clean Fleets and Omnibus RegulationsWhile these documents are intended to help with compliance efforts, it is the sole responsibility of each regulated entity to ensure compliance with the Omnibus regulation.In July 2023, CARB announced a Clean Truck Partnership with the nation’s leading truck manufacturers and the Truck and Engine Manufacturers Association. CARB has created a website to track the status and outcome of commitments made as part of that partnership: Clean Truck Partnership CommitmentsIn August 2023, CARB staff proposed amendments to the Omnibus regulation to provide additional compliance flexibilities in the 2024 through 2026 model year timeframe, while maintaining the emissions benefits of the Omnibus regulation. CARB’s Executive Officer signed Executive Order R-23-006 of the Omnibus Amendments Regulation, approving the proposed amendments, on 28 December 2023.",0.5639602224153668
United States of America,2023-10-04 00:00:00+00:00,Animal Confinement,"Short guidance videos are now available on the Animal Care Program's YouTube channel showing where stakeholders can find relevant information on Animal Care Program's website. Click on the type of stakeholder you are below to watch a short video describing where to find the guidance documents that apply to you and your business. Egg ProducersPork ProducersDistributorsRefer to the Animal Care Program's website at https://www.cdfa.ca.gov/AHFSS/Animalcare/StakeholderResources/ for other stakeholder resources.Reminder for Producers: Egg, Pork and Veal Producers are required to be third-party certified by 1 January 2024. Refer to Animal Confinement Important Dates guidance document. Reminder for Distributors: After 1 January 2024, Egg, Pork and Veal Distributors will need to submit a third-party certification to the Animal Care Program with their application for a new distributor registration or for the purpose of renewing a distributor registration. Refer to Animal Confinement Important Dates guidance document (linked above).CDFA provides a link to a list of Accredited Certifying Agents available to perform certifications. Animal Care Program is continuing to accredit additional certifying agents.Animal Care Program's website: https://www.cdfa.ca.gov/AHFSS/AnimalCare/Questions: AnimalCare@cdfa.ca.gov",Animal confinement,01 - LIVE ANIMALS; 01 - LIVE ANIMALS,03.120 - Quality; 03.120 - Quality; 65.020 - Farming and forestry; 65.020 - Farming and forestry,Protection of animal or plant life or health (TBT); Quality requirements (TBT),,Animal health,,,,,Addendum to Regular Notification,New Guidance Videos on Proposition 12 Farm Animal Confinement are now available from the California Department of Food and Agriculture Animal Care Program (CDFA): https://www.youtube.com/@CDFAAnimalCare,No,No,No,No,Yes,Yes,No,,,,,,,,Animal confinement,03.120 - Quality; 03.120 - Quality; 65.020 - Farming and forestry; 65.020 - Farming and forestry,01 - LIVE ANIMALS; 01 - LIVE ANIMALS,"['03.120', '03.120', '65.020', '65.020']",[],False,True,2023,10,"Animal Confinement

Short guidance videos are now available on the Animal Care Program's YouTube channel showing where stakeholders can find relevant information on Animal Care Program's website. Click on the type of stakeholder you are below to watch a short video describing where to find the guidance documents that apply to you and your business. Egg ProducersPork ProducersDistributorsRefer to the Animal Care Program's website at https://www.cdfa.ca.gov/AHFSS/Animalcare/StakeholderResources/ for other stakeholder resources.Reminder for Producers: Egg, Pork and Veal Producers are required to be third-party certified by 1 January 2024. Refer to Animal Confinement Important Dates guidance document. Reminder for Distributors: After 1 January 2024, Egg, Pork and Veal Distributors will need to submit a third-party certification to the Animal Care Program with their application for a new distributor registration or for the purpose of renewing a distributor registration. Refer to Animal Confinement Important Dates guidance document (linked above).CDFA provides a link to a list of Accredited Certifying Agents available to perform certifications. Animal Care Program is continuing to accredit additional certifying agents.Animal Care Program's website: https://www.cdfa.ca.gov/AHFSS/AnimalCare/Questions: AnimalCare@cdfa.ca.gov",0.1948769255090719
United States of America,2021-01-06 00:00:00+00:00,Regulation of the Movement of Animals Modified or Developed by Genetic Engineering [Docket No. APHIS-2020-0079],"The United States Department of Agriculture (USDA) is soliciting public comment on establishing regulations for the movement of certain animals modified or developed by genetic engineering. Under the regulatory framework being contemplated, USDA would promulgate regulations using the authorities granted to the Department through the Animal Health Protection Act, the Federal Meat Inspection Act (FMIA), and the Poultry Products Inspection Act (PPIA). Pursuant to these authorities, the Animal and Plant Health Inspection Service (APHIS) would conduct a safety assessment of animals subject to the FMIA or PPIA that have been modified or developed using genetic engineering that may increase the animal's susceptibility to pests or diseases of livestock, including zoonotic diseases, or ability to transmit the same. The Food Safety and Inspection Service (FSIS) would conduct a pre-slaughter food safety assessment to ensure that the slaughter and processing of certain animals modified or developed using genetic engineering would not result in a product that is adulterated or misbranded. (Federal Register Vol. 85, No. 248, Monday, 28 December 2020; pp. 84269-84275)",Animals modified or developed by genetic engineering,,,Food safety (SPS); Animal health (SPS); Protect humans from animal/plant pest or disease (SPS),,Human health; Animal diseases; Food safety,,2021-02-26 00:00:00,,,Regular notification,https://beta.regulations.gov/document/APHIS-2020-0079-0001,,,,,,,,,No,No,No,Yes,Not applicable,,Animals modified or developed by genetic engineering,,,[],[],True,False,2021,1,"Regulation of the Movement of Animals Modified or Developed by Genetic Engineering [Docket No. APHIS-2020-0079]

The United States Department of Agriculture (USDA) is soliciting public comment on establishing regulations for the movement of certain animals modified or developed by genetic engineering. Under the regulatory framework being contemplated, USDA would promulgate regulations using the authorities granted to the Department through the Animal Health Protection Act, the Federal Meat Inspection Act (FMIA), and the Poultry Products Inspection Act (PPIA). Pursuant to these authorities, the Animal and Plant Health Inspection Service (APHIS) would conduct a safety assessment of animals subject to the FMIA or PPIA that have been modified or developed using genetic engineering that may increase the animal's susceptibility to pests or diseases of livestock, including zoonotic diseases, or ability to transmit the same. The Food Safety and Inspection Service (FSIS) would conduct a pre-slaughter food safety assessment to ensure that the slaughter and processing of certain animals modified or developed using genetic engineering would not result in a product that is adulterated or misbranded. (Federal Register Vol. 85, No. 248, Monday, 28 December 2020; pp. 84269-84275)",0.3725760490500064
United States of America,2025-02-13 00:00:00+00:00,Nail Products Containing Methyl Methacrylate (MMA) as a Priority Product Department of Toxic Substances Control Reference Number: R-2023-03R,"SAFER CONSUMER PRODUCTS (SCP) REGULATIONS Listing Nail Products Containing Methyl Methacrylate (MMA) at Concentrations Greater than 1,000 parts per million (ppm) as a Priority Product The California Department of Toxic Substances Control (DTSC) proposes to change the definition of the Priority Product to exclude nail products containing equal to or less than 1,000 ppm of MMA from the definition of the Priority Product. To view the proposed regulatory text and all other rulemaking documents, visit DTSC’s Proposed Regulations webpageUnder the proposal initially public noticed on 1 November 2024, manufacturers producing nail products containing 1,000 ppm or less of MMA would have been required to comply with Alternatives Analysis Threshold Notifications (AATNs) and Priority Product Notifications (PPNs) requirements. Under this proposal, those nail products would not be subject to the SCP regulations; therefore, the manufacturers of those nail products would not be required to submit any AATNs nor PPNs. A public comment period for the rulemaking has been established commencing on 10 February 2025, and closing on 25 February 2025.WTO Members and their stakeholders are asked to submit comments to the USA TBT Enquiry Point. Comments received by the USA TBT Enquiry Point from WTO Members and their stakeholders by 4pmEastern Time on 25 February 2025 will be shared with DTSC if received within the comment period.",Nail products containing methyl methacrylate (MMA) – including nail coatings and artificial nails; Quality (ICS code(s): 03.120); Environmental protection (ICS code(s): 13.020); Esters (ICS code(s): 71.080.70); Cosmetics. Toiletries (ICS code(s): 71.100.70),,03.120 - Quality; 03.120 - Quality; 13.020 - Environmental protection; 13.020 - Environmental protection; 71.080.70 - Esters; 71.080.70 - Esters; 71.100.70 - Cosmetics. Toiletries; 71.100.70 - Cosmetics. Toiletries,Prevention of deceptive practices and consumer protection (TBT); Protection of human health or safety (TBT); Quality requirements (TBT),,Human health; Human health,,2025-02-25 00:00:00,,,Addendum to Regular Notification,https://dtsc.ca.gov/listing-nail-products-containing-methyl-methacrylate-mma-as-a-priority-product/,No,No,No,No,Yes,No,No,,,,,,,,Nail products containing methyl methacrylate (MMA) – including nail coatings and artificial nails; Quality (ICS code(s): 03.120); Environmental protection (ICS code(s): 13.020); Esters (ICS code(s): 71.080.70); Cosmetics. Toiletries (ICS code(s): 71.100.70),03.120 - Quality; 03.120 - Quality; 13.020 - Environmental protection; 13.020 - Environmental protection; 71.080.70 - Esters; 71.080.70 - Esters; 71.100.70 - Cosmetics. Toiletries; 71.100.70 - Cosmetics. Toiletries,,"['03.120', '03.120', '13.020', '13.020', '71.080', '71.080', '71.100', '71.100']",[],False,True,2025,2,"Nail Products Containing Methyl Methacrylate (MMA) as a Priority Product Department of Toxic Substances Control Reference Number: R-2023-03R

SAFER CONSUMER PRODUCTS (SCP) REGULATIONS Listing Nail Products Containing Methyl Methacrylate (MMA) at Concentrations Greater than 1,000 parts per million (ppm) as a Priority Product The California Department of Toxic Substances Control (DTSC) proposes to change the definition of the Priority Product to exclude nail products containing equal to or less than 1,000 ppm of MMA from the definition of the Priority Product. To view the proposed regulatory text and all other rulemaking documents, visit DTSC’s Proposed Regulations webpageUnder the proposal initially public noticed on 1 November 2024, manufacturers producing nail products containing 1,000 ppm or less of MMA would have been required to comply with Alternatives Analysis Threshold Notifications (AATNs) and Priority Product Notifications (PPNs) requirements. Under this proposal, those nail products would not be subject to the SCP regulations; therefore, the manufacturers of those nail products would not be required to submit any AATNs nor PPNs. A public comment period for the rulemaking has been established commencing on 10 February 2025, and closing on 25 February 2025.WTO Members and their stakeholders are asked to submit comments to the USA TBT Enquiry Point. Comments received by the USA TBT Enquiry Point from WTO Members and their stakeholders by 4pmEastern Time on 25 February 2025 will be shared with DTSC if received within the comment period.",0.5844546229267279
United States of America,2021-05-18 00:00:00+00:00,"General Mills, Inc.; Filing of Food Additive Petition","The Food and Drug Administration (FDA or we) is announcing that we have filed a petition, submitted by General Mills, Inc., proposing that the food additive regulations be amended to provide for the safe use of vitamin D3 as a nutrient supplement in yogurt at a level higher than is currently permitted.",HS Code(s): 0403; ICS Code(s): 67,"0403 - Buttermilk, curdled milk and cream, yogurt, kephir and other fermented or acidified milk and cream, whether or not concentrated or flavoured or containing added sugar or other sweetening matter, fruits, nuts or cocoa",67 - FOOD TECHNOLOGY,Food safety (SPS),,Food safety; Food additives; Human health,,,,,Regular notification,https://members.wto.org/crnattachments/2021/SPS/USA/21_3451_00_e.pdf https://www.govinfo.gov/content/pkg/FR-2021-04-23/pdf/2021-08235.pdf,,,,,,,,,No,No,No,Yes,Not applicable,,HS Code(s): 0403; ICS Code(s): 67,67 - FOOD TECHNOLOGY,"0403 - Buttermilk, curdled milk and cream, yogurt, kephir and other fermented or acidified milk and cream, whether or not concentrated or flavoured or containing added sugar or other sweetening matter, fruits, nuts or cocoa",[],['0403'],True,False,2021,5,"General Mills, Inc.; Filing of Food Additive Petition

The Food and Drug Administration (FDA or we) is announcing that we have filed a petition, submitted by General Mills, Inc., proposing that the food additive regulations be amended to provide for the safe use of vitamin D3 as a nutrient supplement in yogurt at a level higher than is currently permitted.",0.3493449964969803
United States of America,2021-07-19 00:00:00+00:00,Gardenia Blue Interest Group; Filing of Color Additive Petition,"The Food and Drug Administration is announcing that we have filed a petition, submitted by Gardenia Blue Interest Group (GBIG), proposing that the color additive regulations be amended to provide for the safe use of gardenia blue powder in various foods.","HS Code(s): 1704, 2202, 0902; ICS Code(s): 67","1704 - Sugar confectionery not containing cocoa, incl. white chocolate; 0902 - Tea, whether or not flavoured; 2202 - Waters, incl. mineral waters and aerated waters, containing added sugar or other sweetening matter or flavoured, and other non-alcoholic beverages (excl. fruit or vegetable juices and milk)",67 - FOOD TECHNOLOGY,Food safety (SPS),,Food safety; Food additives; Human health,,,,,Regular notification,https://members.wto.org/crnattachments/2021/SPS/USA/21_4685_00_e.pdf https://www.govinfo.gov/content/pkg/FR-2021-06-30/pdf/2021-13952.pdf,,,,,,,,,No,No,No,Yes,Not applicable,,"HS Code(s): 1704, 2202, 0902; ICS Code(s): 67",67 - FOOD TECHNOLOGY,"1704 - Sugar confectionery not containing cocoa, incl. white chocolate; 0902 - Tea, whether or not flavoured; 2202 - Waters, incl. mineral waters and aerated waters, containing added sugar or other sweetening matter or flavoured, and other non-alcoholic beverages (excl. fruit or vegetable juices and milk)",[],"['0902', '1704', '2202']",True,False,2021,7,"Gardenia Blue Interest Group; Filing of Color Additive Petition

The Food and Drug Administration is announcing that we have filed a petition, submitted by Gardenia Blue Interest Group (GBIG), proposing that the color additive regulations be amended to provide for the safe use of gardenia blue powder in various foods.",0.3984423240161893
United States of America,2021-08-30 00:00:00+00:00,"Piotrovska, PTY LTD.; Filing of Color Additive Petition","The Food and Drug Administration (FDA or we) is announcing that we have filed a petition, submitted by Australian Laboratory Services, PTY LTD., on behalf of Piotrovska, PTY LTD., proposing that the color additive regulations be amended to expand the permitted uses of synthetic iron oxide as a color additive to include use in edible decorative paint.",HS Code(s): 3204; ICS Code(s): 67,"3204 - Synthetic organic colouring matter, whether or not chemically defined; preparations based on synthetic organic colouring matter of a kind used to dye fabrics or produce colorant preparations; synthetic organic products of a kind used as fluorescent brightening agents or as luminophores, whether or not chemically defined (excl. preparations of heading 3207, 3208, 3209, 3210, 3213 and 3215)",67 - FOOD TECHNOLOGY,Food safety (SPS),,Human health; Food safety; Food additives,,,,,Regular notification,https://members.wto.org/crnattachments/2021/SPS/USA/21_5436_00_e.pdf https://www.govinfo.gov/content/pkg/FR-2021-08-20/pdf/2021-17770.pdf,,,,,,,,,No,No,No,Yes,Not applicable,,HS Code(s): 3204; ICS Code(s): 67,67 - FOOD TECHNOLOGY,"3204 - Synthetic organic colouring matter, whether or not chemically defined; preparations based on synthetic organic colouring matter of a kind used to dye fabrics or produce colorant preparations; synthetic organic products of a kind used as fluorescent brightening agents or as luminophores, whether or not chemically defined (excl. preparations of heading 3207, 3208, 3209, 3210, 3213 and 3215)",[],"['3204', '3207', '3208', '3209', '3210', '3213', '3215']",True,False,2021,8,"Piotrovska, PTY LTD.; Filing of Color Additive Petition

The Food and Drug Administration (FDA or we) is announcing that we have filed a petition, submitted by Australian Laboratory Services, PTY LTD., on behalf of Piotrovska, PTY LTD., proposing that the color additive regulations be amended to expand the permitted uses of synthetic iron oxide as a color additive to include use in edible decorative paint.",0.42908638857470577
United States of America,2021-09-13 00:00:00+00:00,Labeling of Meat or Poultry Products Comprised of or Containing Cultured Animal Cells,Advance notice of proposed rulemaking - The Food Safety and Inspection Service (FSIS) is publishing this advance notice of proposed rulemaking (ANPR) to request comments pertaining to the labeling of meat and poultry products comprised of or containing cultured cells derived from animals subject to the Federal Meat Inspection Act or the Poultry Products Inspection Act. Issues raised in the comments submitted in response to this ANPR will inform future rulemaking to establish labeling requirements for these products. This ANPR also discusses how FSIS will generally evaluate labels for these products if they are submitted before the Agency completes rulemaking._x000D_ _x000D_ Cross-notified with TBT/N/USA/1772.,Meat and poultry products,,,Food safety (SPS),,Human health; Food safety; Labelling,,2021-11-02 00:00:00,,,Regular notification,https://members.wto.org/crnattachments/2021/SPS/USA/21_5683_00_e.pdf,,,,,,,,,No,No,No,Yes,Not applicable,,Meat and poultry products,,,[],[],True,False,2021,9,"Labeling of Meat or Poultry Products Comprised of or Containing Cultured Animal Cells

Advance notice of proposed rulemaking - The Food Safety and Inspection Service (FSIS) is publishing this advance notice of proposed rulemaking (ANPR) to request comments pertaining to the labeling of meat and poultry products comprised of or containing cultured cells derived from animals subject to the Federal Meat Inspection Act or the Poultry Products Inspection Act. Issues raised in the comments submitted in response to this ANPR will inform future rulemaking to establish labeling requirements for these products. This ANPR also discusses how FSIS will generally evaluate labels for these products if they are submitted before the Agency completes rulemaking._x000D_ _x000D_ Cross-notified with TBT/N/USA/1772.",0.492891954009573
United States of America,2021-09-14 00:00:00+00:00,Fermentalg; Filing of Color Additive Petition,"The Food and Drug Administration (FDA or we) is announcing that we have filed a petition, submitted by Fermentalg, proposing that the color additive regulations be amended to provide for the safe use of blue Galdieria extract, derived from unicellular red algae (Galdieria sulphuraria), as a color additive in various food categories at levels consistent with good manufacturing practice. _x000D_ The color additive petition was filed on 27 July 2021.","HS Code(s): 1104, 1516, 1704, 2001, 2009, 2105, 2202, 0401, 0402, 0403, 0404, 0405, 0406; ICS Code(s): 67","0401 - Milk and cream, not concentrated nor containing added sugar or other sweetening matter; 0402 - Milk and cream, concentrated or containing added sugar or other sweetening matter; 2105 - Ice cream and other edible ice, whether or not containing cocoa; 1516 - Animal or vegetable fats and oils and their fractions, partly or wholly hydrogenated, inter-esterified, re-esterified or elaidinized, whether or not refined, but not further prepared; 210500 - Ice cream and other edible ice, whether or not containing cocoa; 2009 - Fruit juices, incl. grape must, and vegetable juices, unfermented, not containing added spirit, whether or not containing added sugar or other sweetening matter; 0406 - Cheese and curd; 1704 - Sugar confectionery not containing cocoa, incl. white chocolate; 0403 - Buttermilk, curdled milk and cream, yogurt, képhir and other fermented or acidified milk and cream, whether or not concentrated or flavoured or containing added sugar or other sweetening matter, fruits, nuts or cocoa; 0404 - Whey, whether or not concentrated or containing added sugar or other sweetening matter; products consisting of natural milk constituents, whether or not containing added sugar or other sweetening matter, n.e.s.; 0405 - Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads; 2001 - Vegetables, fruit, nuts and other edible parts of plants, prepared or preserved by vinegar or acetic acid; 2202 - Waters, incl. mineral waters and aerated waters, containing added sugar or other sweetening matter or flavoured, and other non-alcoholic beverages (excl. fruit or vegetable juices and milk); 1104 - Cereal grains otherwise worked, e.g. hulled, rolled, flaked, pearled, sliced or kebbled; germ of cereals, whole, rolled, flaked or ground (excl. cereal flours, and husked and semi- or wholly milled rice and broken rice)",67 - FOOD TECHNOLOGY,Food safety (SPS),,Food additives; Human health; Food safety,,,,,Regular notification,https://members.wto.org/crnattachments/2021/SPS/USA/21_5785_00_e.pdf https://www.govinfo.gov/content/pkg/FR-2021-09-09/pdf/2021-19405.pdf,,,,,,,,,No,No,No,Yes,Not applicable,,"HS Code(s): 1104, 1516, 1704, 2001, 2009, 2105, 2202, 0401, 0402, 0403, 0404, 0405, 0406; ICS Code(s): 67",67 - FOOD TECHNOLOGY,"0401 - Milk and cream, not concentrated nor containing added sugar or other sweetening matter; 0402 - Milk and cream, concentrated or containing added sugar or other sweetening matter; 2105 - Ice cream and other edible ice, whether or not containing cocoa; 1516 - Animal or vegetable fats and oils and their fractions, partly or wholly hydrogenated, inter-esterified, re-esterified or elaidinized, whether or not refined, but not further prepared; 210500 - Ice cream and other edible ice, whether or not containing cocoa; 2009 - Fruit juices, incl. grape must, and vegetable juices, unfermented, not containing added spirit, whether or not containing added sugar or other sweetening matter; 0406 - Cheese and curd; 1704 - Sugar confectionery not containing cocoa, incl. white chocolate; 0403 - Buttermilk, curdled milk and cream, yogurt, képhir and other fermented or acidified milk and cream, whether or not concentrated or flavoured or containing added sugar or other sweetening matter, fruits, nuts or cocoa; 0404 - Whey, whether or not concentrated or containing added sugar or other sweetening matter; products consisting of natural milk constituents, whether or not containing added sugar or other sweetening matter, n.e.s.; 0405 - Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads; 2001 - Vegetables, fruit, nuts and other edible parts of plants, prepared or preserved by vinegar or acetic acid; 2202 - Waters, incl. mineral waters and aerated waters, containing added sugar or other sweetening matter or flavoured, and other non-alcoholic beverages (excl. fruit or vegetable juices and milk); 1104 - Cereal grains otherwise worked, e.g. hulled, rolled, flaked, pearled, sliced or kebbled; germ of cereals, whole, rolled, flaked or ground (excl. cereal flours, and husked and semi- or wholly milled rice and broken rice)",[],"['0401', '0402', '0403', '0404', '0405', '0406', '1104', '1516', '1704', '2001', '2009', '2105', '2202']",True,False,2021,9,"Fermentalg; Filing of Color Additive Petition

The Food and Drug Administration (FDA or we) is announcing that we have filed a petition, submitted by Fermentalg, proposing that the color additive regulations be amended to provide for the safe use of blue Galdieria extract, derived from unicellular red algae (Galdieria sulphuraria), as a color additive in various food categories at levels consistent with good manufacturing practice. _x000D_ The color additive petition was filed on 27 July 2021.",0.4134481372396435
