model,roc_auc,avg_precision,precision_top10pct,recall_top10pct,theta,roc_auc_base20,avg_precision_base20,precision_top10pct_base20,recall_top10pct_base20,delta_roc_auc_vs20,delta_avg_precision_vs20,delta_precision_top10pct_vs20,delta_recall_top10pct_vs20
Country-only,0.5687161960908063,0.2831334931991094,0.2929875120076849,0.1169478527607362,0.1,0.5785106007758549,0.21384752056537168,0.24399615754082613,0.13597430406852248,-0.009794404685048663,0.06928597263373773,0.04899135446685879,-0.019026451307786282
DistilBERT,0.549972585044399,0.28516522778331577,0.29394812680115273,0.11733128834355828,0.1,0.5615914220964139,0.20785033471691347,0.22670509125840538,0.12633832976445397,-0.01161883705201483,0.0773148930664023,0.06724303554274735,-0.009007041420895687
Embeddings + Country (SBERT),0.5329768126725362,0.27420402597764043,0.29971181556195964,0.1196319018404908,0.1,0.5570098063071832,0.21176850614699083,0.24591738712776176,0.13704496788008566,-0.02403299363464706,0.0624355198306496,0.05379442843419788,-0.01741306603959486
Text + Country (TF-IDF),0.5458842203568293,0.2778304362845995,0.2929875120076849,0.1169478527607362,0.1,0.5627699863934383,0.213465818747745,0.23054755043227665,0.1284796573875803,-0.016885766036609073,0.06436461753685452,0.062439961575408265,-0.011531804626844097
Text-only (TF-IDF),0.49667344056414015,0.2503542818003503,0.25456292026897215,0.10161042944785276,0.1,0.4970287072361621,0.17757399620483594,0.17579250720461095,0.09796573875802998,-0.00035526667202195883,0.07278028559551436,0.0787704130643612,0.0036446906898227743
Country-only,0.5626824890716192,0.2422335765258359,0.26512968299711814,0.1241565452091768,0.15,0.5785106007758549,0.21384752056537168,0.24399615754082613,0.13597430406852248,-0.015828111704235703,0.02838605596046423,0.02113352545629202,-0.01181775885934569
DistilBERT,0.5509916413743638,0.2463670743810476,0.2689721421709894,0.12595591542959964,0.15,0.5615914220964139,0.20785033471691347,0.22670509125840538,0.12633832976445397,-0.010599780722050034,0.03851673966413413,0.04226705091258404,-0.0003824143348543363
Embeddings + Country (SBERT),0.5352142426718305,0.23899394890943232,0.26032660902977905,0.12190733243364822,0.15,0.5570098063071832,0.21176850614699083,0.24591738712776176,0.13704496788008566,-0.021795563635352733,0.027225442762441487,0.014409221902017294,-0.015137635446437439
Text + Country (TF-IDF),0.5520753654812675,0.24401211845727602,0.2584053794428434,0.1210076473234368,0.15,0.5627699863934383,0.213465818747745,0.23054755043227665,0.1284796573875803,-0.010694620912170882,0.030546299709531016,0.02785782901056677,-0.007472010064143497
Text-only (TF-IDF),0.4946702372541447,0.21303889227320208,0.2084534101825168,0.09761583445793973,0.15,0.4970287072361621,0.17757399620483594,0.17579250720461095,0.09796573875802998,-0.002358469982017386,0.03546489606836614,0.03266090297790586,-0.0003499043000902563
Country-only,0.5785106007758549,0.21384752056537168,0.24399615754082613,0.13597430406852248,0.2,0.5785106007758549,0.21384752056537168,0.24399615754082613,0.13597430406852248,0.0,0.0,0.0,0.0
DistilBERT,0.5615914220964139,0.20785033471691347,0.22670509125840538,0.12633832976445397,0.2,0.5615914220964139,0.20785033471691347,0.22670509125840538,0.12633832976445397,0.0,0.0,0.0,0.0
Embeddings + Country (SBERT),0.5570098063071832,0.21176850614699083,0.24591738712776176,0.13704496788008566,0.2,0.5570098063071832,0.21176850614699083,0.24591738712776176,0.13704496788008566,0.0,0.0,0.0,0.0
Text + Country (TF-IDF),0.5627699863934383,0.213465818747745,0.23054755043227665,0.1284796573875803,0.2,0.5627699863934383,0.213465818747745,0.23054755043227665,0.1284796573875803,0.0,0.0,0.0,0.0
Text-only (TF-IDF),0.4970287072361621,0.17757399620483594,0.17579250720461095,0.09796573875802998,0.2,0.4970287072361621,0.17757399620483594,0.17579250720461095,0.09796573875802998,0.0,0.0,0.0,0.0
Country-only,0.5798194894288496,0.18586224551812297,0.21037463976945245,0.13636363636363635,0.25,0.5785106007758549,0.21384752056537168,0.24399615754082613,0.13597430406852248,0.001308888652994722,-0.02798527504724871,-0.03362151777137368,0.00038933229511387
DistilBERT,0.5645972479876978,0.18492668844305615,0.21037463976945245,0.13636363636363635,0.25,0.5615914220964139,0.20785033471691347,0.22670509125840538,0.12633832976445397,0.003005825891283953,-0.022923646273857318,-0.01633045148895293,0.010025306599182382
Embeddings + Country (SBERT),0.5634491253389695,0.18534043729581,0.21709894332372717,0.14072229140722292,0.25,0.5570098063071832,0.21176850614699083,0.24591738712776176,0.13704496788008566,0.006439319031786295,-0.02642806885118082,-0.028818443804034588,0.0036773235271372606
Text + Country (TF-IDF),0.5715009170826495,0.189556090344968,0.207492795389049,0.13449564134495642,0.25,0.5627699863934383,0.213465818747745,0.23054755043227665,0.1284796573875803,0.008730930689211158,-0.023909728402776997,-0.023054755043227654,0.006015983957376125
Text-only (TF-IDF),0.4977007468299854,0.15420733286865987,0.16042267050912584,0.10398505603985056,0.25,0.4970287072361621,0.17757399620483594,0.17579250720461095,0.09796573875802998,0.0006720395938232815,-0.02336666333617607,-0.015369836695485112,0.006019317281820577
