model,roc_auc,avg_precision,precision_top10pct,recall_top10pct,theta
Country-only,0.5687161960908063,0.2831334931991094,0.2929875120076849,0.1169478527607362,0.1
DistilBERT,0.549972585044399,0.28516522778331577,0.29394812680115273,0.11733128834355828,0.1
Embeddings + Country (SBERT),0.5329768126725362,0.27420402597764043,0.29971181556195964,0.1196319018404908,0.1
Text + Country (TF-IDF),0.5458842203568293,0.2778304362845995,0.2929875120076849,0.1169478527607362,0.1
Text-only (TF-IDF),0.49667344056414015,0.2503542818003503,0.25456292026897215,0.10161042944785276,0.1
Country-only,0.5626824890716192,0.2422335765258359,0.26512968299711814,0.1241565452091768,0.15
DistilBERT,0.5509916413743638,0.2463670743810476,0.2689721421709894,0.12595591542959964,0.15
Embeddings + Country (SBERT),0.5352142426718305,0.23899394890943232,0.26032660902977905,0.12190733243364822,0.15
Text + Country (TF-IDF),0.5520753654812675,0.24401211845727602,0.2584053794428434,0.1210076473234368,0.15
Text-only (TF-IDF),0.4946702372541447,0.21303889227320208,0.2084534101825168,0.09761583445793973,0.15
Country-only,0.5785106007758549,0.21384752056537168,0.24399615754082613,0.13597430406852248,0.2
DistilBERT,0.5615914220964139,0.20785033471691347,0.22670509125840538,0.12633832976445397,0.2
Embeddings + Country (SBERT),0.5570098063071832,0.21176850614699083,0.24591738712776176,0.13704496788008566,0.2
Text + Country (TF-IDF),0.5627699863934383,0.213465818747745,0.23054755043227665,0.1284796573875803,0.2
Text-only (TF-IDF),0.4970287072361621,0.17757399620483594,0.17579250720461095,0.09796573875802998,0.2
Country-only,0.5798194894288496,0.18586224551812297,0.21037463976945245,0.13636363636363635,0.25
DistilBERT,0.5645972479876978,0.18492668844305615,0.21037463976945245,0.13636363636363635,0.25
Embeddings + Country (SBERT),0.5634491253389695,0.18534043729581,0.21709894332372717,0.14072229140722292,0.25
Text + Country (TF-IDF),0.5715009170826495,0.189556090344968,0.207492795389049,0.13449564134495642,0.25
Text-only (TF-IDF),0.4977007468299854,0.15420733286865987,0.16042267050912584,0.10398505603985056,0.25
