notified_document,text,distribution_date,Y_notif
https://members.wto.org/crnattachments/2021/TBT/USA/21_0054_00_e.pdf,Final rule - This final rule corrects editorial errors and improves the clarity of certain provisions in the Hazardous Materials Regulations and PHMSA program and procedural regulations. The intended effect of this rulemaking is to enhance the accuracy and reduce misunderstandings of the regulations. The amendments contained in this final rule are non-substantive changes and do not impose new requirements.,2021-01-04 00:00:00+00:00,1
https://members.wto.org/crnattachments/2021/TBT/USA/final_measure/21_0263_00_e.pdf https://www.govinfo.gov/content/pkg/FR-2020-12-29/html/2020-28747.htm https://www.govinfo.gov/content/pkg/FR-2020-12-29/pdf/2020-28747.pdf,"Addition of New Standards of Fill for Wine and Distilled Spirits; Amendment of Distilled Spirits and Malt Beverage Net Contents Labeling RegulationsAGENCY: Alcohol and Tobacco Tax and Trade Bureau, TreasuryACTION: Final rule; Treasury decisionSUMMARY: This final rule amends the Alcohol and Tobacco Tax and Trade Bureau (TTB) regulations that govern wine and distilled spirits containers to add seven new standards of fill for wine and distilled spirits. Although TTB had originally proposed to generally eliminate the standards of fill for wine and distilled spirits, TTB is not adopting that proposal at this time. The amendments described in this final rule will provide bottlers with flexibility by allowing the use of the added container sizes, and will facilitate the movement of goods in domestic and international commerce, while also providing consumers broader purchasing options.TTB is also amending the labeling regulations for distilled spirits and malt beverages to reflect current policy by specifically stating in the regulations that distilled spirits may be labeled with the equivalent standard United States (U.S.) measure in addition to the mandatory metric measure, and that malt beverages may be labeled with the equivalent metric measure in addition to the mandatory U.S. measure.This final rule is effective 29 December 2020.This final rule; Treasury decision and previous actions notified under the symbol G/TBT/N/USA/1501 are identified by Docket Number TTB-2019-0005. The Docket Folder is available on Regulations.gov at https://www.regulations.gov/docket?D=TTB-2019-0005 and provides access to primary documents as well as comments received. Documents are also accessible from Regulations.gov by searching the Docket Number.",2021-01-07 00:00:00+00:00,1
https://members.wto.org/crnattachments/2021/TBT/USA/final_measure/21_0264_00_e.pdf https://www.govinfo.gov/content/pkg/FR-2020-12-29/html/2020-28747.htm https://www.govinfo.gov/content/pkg/FR-2020-12-29/pdf/2020-28747.pdf,"Addition of New Standards of Fill for Wine and Distilled Spirits; Amendment of Distilled Spirits and Malt Beverage Net Contents Labeling RegulationsAGENCY: Alcohol and Tobacco Tax and Trade Bureau, TreasuryACTION: Final rule; Treasury decisionSUMMARY: This final rule amends the Alcohol and Tobacco Tax and Trade Bureau (TTB) regulations that govern wine and distilled spirits containers to add seven new standards of fill for wine and distilled spirits. Although TTB had originally proposed to generally eliminate the standards of fill for wine and distilled spirits, TTB is not adopting that proposal at this time. The amendments described in this final rule will provide bottlers with flexibility by allowing the use of the added container sizes, and will facilitate the movement of goods in domestic and international commerce, while also providing consumers broader purchasing options.TTB is also amending the labeling regulations for distilled spirits and malt beverages to reflect current policy by specifically stating in the regulations that distilled spirits may be labeled with the equivalent standard United States (U.S.) measure in addition to the mandatory metric measure, and that malt beverages may be labeled with the equivalent metric measure in addition to the mandatory U.S. measure.This final rule is effective 29 December 2020.This final rule; Treasury decision and previous actions notified under the symbol G/TBT/N/USA/1502 are identified by Docket Number TTB-2019-0004. The Docket Folder is available on Regulations.gov at https://www.regulations.gov/docket?D=TTB-2019-0004 and provides access to primary documents as well as comments received. Documents are also accessible from Regulations.gov by searching the Docket Number.",2021-01-07 00:00:00+00:00,1
https://members.wto.org/crnattachments/2021/TBT/USA/21_0266_00_e.pdf https://www.govinfo.gov/content/pkg/FR-2020-12-29/html/2020-28494.htm https://www.govinfo.gov/content/pkg/FR-2020-12-29/pdf/2020-28494.pdf,,2021-01-07 00:00:00+00:00,0
https://members.wto.org/crnattachments/2021/TBT/USA/21_0267_00_e.pdf,"Federal Motor Vehicle Safety Standards; Child Restraint Systems, Incorporation by ReferenceAGENCY: National Highway Traffic Safety Administration (NHTSA), Department of Transportation (DOT)ACTION: Proposed rule; extension of comment periodSUMMARY: NHTSA has received petitions asking the Agency to extend the comment period for a notice of proposed rulemaking (NPRM) to update Federal Motor Vehicle Safety Standard (FMVSS) No. 213, ""Child restraint systems."" The NPRM proposed to incorporate a new test sled assembly to conduct compliance tests of child restraints and update a number of the test procedures of the standard. The comment period for the NPRM is scheduled to end on 4 January 2021. In response to petitions from the Juvenile Products Manufacturers Association and the Children's Hospital of Philadelphia, the Agency is extending the comment period by 90 days.DATES: The comment period for the NPRM published on 2 November 2020, at 85 FR 69388, is extended to 5 April 2021.This proposed rule; extension of comment period and the notice of proposed rulemaking; request for comment notified as G/TBT/N/USA/1667 is identified by Docket Number NHTSA-2020-0093. The Docket Folder is available on Regulations.gov at https://www.regulations.gov/docket?D=NHTSA-2020-0093 and provides access to primary documents, and will also provide access to comments received. Documents are also accessible from Regulations.gov by searching the Docket Number. WTO Members and their stakeholders are asked to submit comments to the USA TBT Enquiry Point. Comments received by the USA TBT Enquiry Point from WTO Members and their stakeholders will be shared with the regulator and will also be submitted to the Docket on Regulations.gov if received within the comment period.",2021-01-07 00:00:00+00:00,0
https://members.wto.org/crnattachments/2021/TBT/USA/21_0268_00_e.pdf,"Notice of proposed rulemaking - FMCSA proposes to amend the Federal Motor Carrier Safety Regulations (FMCSRs) to include rear impact guards on the list of items that must be examined as part of the required annual inspection for each commercial motor vehicle (CMV). In addition, FMCSA proposes to amend the labeling requirements for rear impact guards, and to exclude road construction controlled (RCC) horizontal discharge trailers from the rear impact guard requirements, consistent with changes made by the National Highway Traffic Safety Administration (NHTSA) to the corresponding Federal Motor Vehicle Safety Standards (FMVSS). This notice of proposed rulemaking (NPRM) responds to rulemaking petitions, as well as a recommendation from the Government Accountability Office (GAO).",2021-01-07 00:00:00+00:00,0
https://members.wto.org/crnattachments/2021/TBT/USA/final_measure/21_0285_00_e.pdf https://www.govinfo.gov/content/pkg/FR-2020-12-29/html/2020-27543.htm https://www.govinfo.gov/content/pkg/FR-2020-12-29/pdf/2020-27543.pdf,"Federal Motor Vehicle Safety Standards; Side Impact Protection, Ejection Mitigation; Technical CorrectionsAGENCY: National Highway Traffic Safety Administration (NHTSA), Department of TransportationACTION: Final rule; technical correctionsSUMMARY: This final rule corrects errors in Federal Motor Vehicle Safety Standard (FMVSS) No. 214, ""Side impact protection,"" and in FMVSS No. 226, ""Ejection mitigation."" The error occurred in FMVSS No. 214 when an amendment to FMVSS No. 214 was transcribed into the Code of Federal Regulations. The error to FMVSS No. 226 arose as a result of a drafting error when NHTSA issued FMVSS No. 226. This final rule amends the standards to reflect the intent of the Agency when it issued the standards.This rule is effective 29 December 2020.This final rule is identified by Docket Number NHTSA-2020-0111. The Docket Folder is available on Regulations.gov at https://www.regulations.gov/docket?D=NHTSA-2020-0111 and provides access to primary documents as well as comments received. Documents are also accessible from Regulations.gov by searching the Docket Number.The notice of proposed rulemaking “Federal Motor Vehicle Safety Standards, Ejection Mitigation; Phase-In Reporting Requirements” notified as G/TBT/N/USA/507 is identified by Docket Number NHTSA-2009-0183. The Docket Folder is available from Regulations.gov at https://www.regulations.gov/docket?D=NHTSA-2009-0183 and provides access to primary and supporting documents as well as comments received. Documents are also accessible from Regulations.gov by searching the Docket Number. A final rule notified as G/TBT/N/USA/507/Add.1 and a correction to final rule notified as G/TBT/N/USA/507/Add.1/Corr.1are identified by Docket Number NHTSA-2011-0004. The Docket Folder is available on Regulations.gov at https://www.regulations.gov/docket?D=NHTSA-2011-0004 and provides access to primary and supporting documents as well as comments received. Documents are also accessible from Regulations.gov by searching the Docket Number.A final rule; response to petitions for reconsideration notified as G/TBT/N/USA/507/Add.2 is identified by Docket Number NHTSA-2013-0097. The Docket Folder is available on Regulations.gov at https://www.regulations.gov/docket?D=NHTSA-2013-0097 and provides access to primary documents as well as comments received. Documents are also accessible from Regulations.gov by searching the Docket Number.G/TBT/N/USA/57 and subsequent addendaon Federal Motor Vehicle Safety Standards; Side Impact Protection; Side Impact Phase-In Reporting Requirements are identified by Docket Numbers NHTSA-2004-17694, NHTSA-2010-0032, NHTSA-2004-17694, NHTSA-2004-17694, and NHTSA-2004-18864. For access to primary and supporting documents as well as comments received, search the Docket Numbers on Regulations.gov",2021-01-08 00:00:00+00:00,0
https://members.wto.org/crnattachments/2021/TBT/USA/21_0283_00_e.pdf,"AGENCY: National Highway Traffic Safety Administration (NHTSA), U.S. Department of Transportation (DOT)ACTION: Supplemental notice of proposed rulemaking (SNPRM)SUMMARY: In 2016, NHTSA published a notice of proposed rulemaking (NPRM) to amend our regulations, ""Make Inoperative Exemptions, Vehicle Modifications to Accommodate People With Disabilities,"" to include a new exemption relating to the Federal motor vehicle safety standard (FMVSS) for roof crush resistance. The exemptions facilitate the mobility of drivers and passengers with physical disabilities. This SNPRM expands the scope of NHTSA's 2016 NPRM in two ways. First, it grants a petition from Bruno Independent Living Aids, Inc., and proposes to include in part 595 an exemption relating to the rear visibility requirements in FMVSS No. 111. Second, in response to an inquiry from Enterprise Holdings Co. (Enterprise), this document proposes to permit rental car companies to make inoperative a knee bolster air bag, on a temporary basis, to permit the temporary installation of hand controls to accommodate persons with physical disabilities seeking to rent the vehicle.DATES: Comments concerning this SNPRM should be submitted early enough to ensure that the Docket receives them not later than 27 January 2021. In compliance with the Paperwork Reduction Act, NHTSA is also seeking comment on a revised information collection. See the Paperwork Reduction Act section under Regulatory Analyses and Notices below. Comments concerning the revised information collection requirements are due 26 February 2021 to NHTSA and to the Office of Management and Budget (OMB) at the address listed in the ADDRESSES section.This supplemental notice of proposed rulemaking and the notice of proposed rulemaking notified as G/TBT/N/USA/1082 are identified by Docket Number NHTSA-2016-0031. The Docket Folder is available on Regulations.gov at https://www.regulations.gov/docket?D=NHTSA-2016-0031and provides access to primary documents as well as comments received. Documents are also accessible from Regulations.govby searching the Docket Number. WTO Members and their stakeholders are asked to submit comments to the USA TBT Enquiry Point. Comments received by the USA TBT Enquiry Point from WTO Members and their stakeholders will be shared with the regulator and will also be submitted to the Docket on Regulations.gov if received within the comment period.",2021-01-08 00:00:00+00:00,0
https://members.wto.org/crnattachments/2021/TBT/USA/21_0307_00_e.pdf,"Final rule - The Food and Drug Administration (FDA or we) is establishing 1 January 2024, as the uniform compliance date for food labeling regulations that are published on or after 1 January 2021, and on or before 31 December 2022. We periodically announce uniform compliance dates for new food labeling requirements to minimize the economic impact of labeling changes.",2021-01-08 00:00:00+00:00,1
https://members.wto.org/crnattachments/2021/TBT/USA/interpretative_guidance/21_0287_00_e.pdf https://www.govinfo.gov/content/pkg/FR-2020-12-31/html/2020-28929.htm https://www.govinfo.gov/content/pkg/FR-2020-12-31/pdf/2020-28929.pdf,"Consumer Antiseptic Rub Final Rule; Finding of Ineligibility for Inclusion in Final Monograph Questions and Answers; Guidance for Industry; Small Entity Compliance Guide; AvailabilityAGENCY: Food and Drug Administration, HHSACTION: Notice of availabilitySUMMARY: The Food and Drug Administration (FDA or Agency) is announcing the availability of a final guidance for industry entitled ""Consumer Antiseptic Rub Final Rule Questions and Answers."" We are issuing this guidance in accordance with the Small Business Regulatory Enforcement Fairness Act to help small businesses understand and comply with the Consumer Antiseptic Rub Final Rule; Finding of Ineligibility for Inclusion in Final Monograph (Consumer Antiseptic Rub FR). In the Consumer Antiseptic Rub FR, FDA established that 28 active ingredients used in nonprescription (also known as over-the-counter (OTC)) consumer antiseptic products intended for use without water (consumer antiseptic rubs) are not eligible for evaluation under FDA's OTC Drug Review, which was used to evaluate the safety and effectiveness of OTC drug products marketed in the United States on or before May 1972. The Consumer Antiseptic Rub FR also established that three active ingredients used in consumer antiseptic rubs are eligible for evaluation under the OTC Drug Review and granted requests to temporarily defer further rulemaking on these three eligible ingredients to allow for the development and submission of new safety and effectiveness data.The guidance is accessible from the FDA’s website at https://www.fda.gov/regulatory-information/search-fda-guidance-documents/consumer-antiseptic-rub-final-rule-questions-and-answers-guidance-industryand is intended to help small businesses understand and comply with the Consumer Antiseptic Rub Final Rule; Finding of Ineligibility for Inclusion in Final Monograph (Consumer Antiseptic Rub FR) (84 FR 14847, 12 April 2019), which applies to active ingredients used in over-the-counter (OTC) consumer antiseptic rub products that are sometimes referred to as rubs, leave-on products, or hand sanitizers. The Consumer Antiseptic Rub FR also applies to active ingredients used in OTC consumer antiseptic wipes.This guidance represents the current thinking of the Food and Drug Administration (FDA or Agency) on this topic. It does not establish any rights for any person and is not binding on FDA or the public. You can use an alternative approach if it satisfies the requirements of the applicable statutes and regulations.To discuss an alternative approach, contact the FDA office responsible for this guidance as listed on the title page: Office of Communications, Division of Drug Information, Center for Drug Evaluation and Research. DATES: The announcement of the guidance is published in the Federal Register on 31 December 2020.This notice of availability and previous actions notified under the symbol G/TBT/N/USA/1167 are identified by Docket Number FDA-2016-N-0124 (Formerly Docket No. FDA-1975-N-0012). The Docket Folders are available on Regulations.gov at https://www.regulations.gov/docket?D=FDA-2016-N-0124and https://www.regulations.gov/docket?D=FDA-1975-N-0012and provide access to primary and supporting documents as well as comments received. Documents are also accessible from Regulations.govby searching the Docket Numbers. G/TBT/N/USA/875 and subsequent addenda- Safety and Effectiveness of Consumer Antiseptic Rubs; Topical Antimicrobial Drug Products for Over-the-Counter Human Use._x000D_",2021-01-08 00:00:00+00:00,1
