notifying_member,distribution_date,title,description,products_covered,hs_code_s,ics_code_s,objectives,objectives_free_text,keywords,specific_regions_or_countries_likely_to_be_affected,final_date_for_comments,proposed_adoption_date,proposed_entry_into_force_date,notification_type,notified_document,technical_regulation_article_2_9_2,technical_regulation_urgent_article_2_10_1,conformity_assessment_procedure_article_5_6_2,conformity_assessment_procedure_urgent_article_5_7_1,technical_regulation_local_government_article_3_2,conformity_assessment_procedure_local_government_article_7_2,other,relevant_documents,codex_alimentarius_commission,world_organization_for_animal_health_oie,international_plant_protection_convention,none,does_this_proposed_regulation_conform_to_the_relevant_international_standard,if_no_describe_whenever_possible_how_and_why_it_deviates_from_the_international_standard,products_covered_raw,ics_codes_raw,hs_codes_raw,ics_list,hs_list,is_sps,is_tbt
United States of America,2023-09-27,Animal Confinement,"New guidance documents posted to Animal Care Program's website1. Egg Producer On-Site Inspection Guidance2. Pork Producer On-Site Inspection GuidanceVisit Animal Care Program's website for more information. Click on ""Guidance Documents"" on the right-hand side to review guidance for all stakeholders. Reminder: Egg, Pork and Veal Producers are required to be third-party certified by 1 January 2024. Refer to Animal Confinement Important Dates guidance document. Animal Care Program's website:_x000D_ https://www.cdfa.ca.gov/AHFSS/AnimalCare/Questions:_x000D_ AnimalCare@cdfa.ca.gov_x000D_",Animal confinement,01 - LIVE ANIMALS; 01 - LIVE ANIMALS,03.120 - Quality; 03.120 - Quality; 65.020 - Farming and forestry; 65.020 - Farming and forestry,Protection of animal or plant life or health (TBT); Quality requirements (TBT),,Animal health,,,,,Addendum to Regular Notification,Animal Care Program https://www.cdfa.ca.gov/AHFSS/AnimalCare/,No,No,No,No,Yes,Yes,No,,,,,,,,Animal confinement,03.120 - Quality; 03.120 - Quality; 65.020 - Farming and forestry; 65.020 - Farming and forestry,01 - LIVE ANIMALS; 01 - LIVE ANIMALS,"['03.120', '03.120', '65.020', '65.020']",[],False,True
United States of America,2024-01-05,Proposed Amendments to the Heavy-Duty Engine and Vehicle Omnibus Regulation,"The California Air Resources Board (CARB) has posted new guidance documents for manufacturers, dealers, upfitters, and buyers to clarify when a heavy-duty engine must be California-certified and subject to the California Averaging, Banking and Trading program requirements (fully offset) under Title 13, California Code of Regulations, Sections 1956.8(b) and 2015(r). These guidance documents provide additional information to assist stakeholders in planning efforts to comply with the Heavy-Duty Engine and Vehicle Omnibus (Omnibus) regulation:Clarifications for California Truck Dealers Regarding Sales Outside CaliforniaCARB Responses Regarding Requests for Enforcement Discretion for Advanced Clean Fleets and Omnibus RegulationsWhile these documents are intended to help with compliance efforts, it is the sole responsibility of each regulated entity to ensure compliance with the Omnibus regulation.In July 2023, CARB announced a Clean Truck Partnership with the nation’s leading truck manufacturers and the Truck and Engine Manufacturers Association. CARB has created a website to track the status and outcome of commitments made as part of that partnership: Clean Truck Partnership CommitmentsIn August 2023, CARB staff proposed amendments to the Omnibus regulation to provide additional compliance flexibilities in the 2024 through 2026 model year timeframe, while maintaining the emissions benefits of the Omnibus regulation. CARB’s Executive Officer signed Executive Order R-23-006 of the Omnibus Amendments Regulation, approving the proposed amendments, on 28 December 2023.",Heavy-duty engines; Environmental protection (ICS code(s): 13.020); Air quality (ICS code(s): 13.040); Special purpose vehicles (ICS code(s): 43.160),,13.020 - Environmental protection; 13.040 - Air quality; 43.160 - Special purpose vehicles; 13.020 - Environmental protection; 13.040 - Air quality; 43.160 - Special purpose vehicles,Protection of the environment (TBT),,,,,,,Addendum to Regular Notification,Guidance Documents Available for the Heavy-Duty Engine and Vehicle Omnibus Regulation Heavy-Duty Low NOx Resources: https://ww2.arb.ca.gov/our-work/programs/heavy-duty-low-nox/resources,No,No,No,No,Yes,No,No,,,,,,,,Heavy-duty engines; Environmental protection (ICS code(s): 13.020); Air quality (ICS code(s): 13.040); Special purpose vehicles (ICS code(s): 43.160),13.020 - Environmental protection; 13.040 - Air quality; 43.160 - Special purpose vehicles; 13.020 - Environmental protection; 13.040 - Air quality; 43.160 - Special purpose vehicles,,"['13.020', '13.040', '43.160', '13.020', '13.040', '43.160']",[],False,True
United States of America,2023-10-04,Animal Confinement,"Short guidance videos are now available on the Animal Care Program's YouTube channel showing where stakeholders can find relevant information on Animal Care Program's website. Click on the type of stakeholder you are below to watch a short video describing where to find the guidance documents that apply to you and your business. Egg ProducersPork ProducersDistributorsRefer to the Animal Care Program's website at https://www.cdfa.ca.gov/AHFSS/Animalcare/StakeholderResources/ for other stakeholder resources.Reminder for Producers: Egg, Pork and Veal Producers are required to be third-party certified by 1 January 2024. Refer to Animal Confinement Important Dates guidance document. Reminder for Distributors: After 1 January 2024, Egg, Pork and Veal Distributors will need to submit a third-party certification to the Animal Care Program with their application for a new distributor registration or for the purpose of renewing a distributor registration. Refer to Animal Confinement Important Dates guidance document (linked above).CDFA provides a link to a list of Accredited Certifying Agents available to perform certifications. Animal Care Program is continuing to accredit additional certifying agents.Animal Care Program's website: https://www.cdfa.ca.gov/AHFSS/AnimalCare/Questions: AnimalCare@cdfa.ca.gov",Animal confinement,01 - LIVE ANIMALS; 01 - LIVE ANIMALS,03.120 - Quality; 03.120 - Quality; 65.020 - Farming and forestry; 65.020 - Farming and forestry,Protection of animal or plant life or health (TBT); Quality requirements (TBT),,Animal health,,,,,Addendum to Regular Notification,New Guidance Videos on Proposition 12 Farm Animal Confinement are now available from the California Department of Food and Agriculture Animal Care Program (CDFA): https://www.youtube.com/@CDFAAnimalCare,No,No,No,No,Yes,Yes,No,,,,,,,,Animal confinement,03.120 - Quality; 03.120 - Quality; 65.020 - Farming and forestry; 65.020 - Farming and forestry,01 - LIVE ANIMALS; 01 - LIVE ANIMALS,"['03.120', '03.120', '65.020', '65.020']",[],False,True
United States of America,2015-08-10,Federal Order: Modification of Import Requirements for Medfly Host Commodities from Chile,"On 31 July 2015, Animal Plant Health Inspection Service issued a Federal Order, effective immediately, amending the import requirements for Mediterranean Fruit Fly Host Commodities from Chile. The Federal Order is also posted on the APHIS Plant Health Federal Import Orders Website. (Federal Order: DA-2015-42) http://www.aphis.usda.gov/wps/portal/aphis/home/?1dmy&urile=wcm%3Apath%3A/APHIS_Content_Library/SA_Our_Focus/SA_Plant_Health/SA_Import/SA_Federal_Orders_x000D_ _x000D_",Mediterranean fruit fly host commodities from Chile,"08 - EDIBLE FRUIT AND NUTS; PEEL OF CITRUS FRUITS OR MELONS; 06 - LIVE TREES AND OTHER PLANTS; BULBS, ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE",,Plant protection (SPS); Protect territory from other damage from pests (SPS),,Pests; Territory protection; Plant health; Fruit fly,Chile,,2015-07-31 00:00:00,2015-07-31 00:00:00,Regular notification,http://content.govdelivery.com/attachments/USDAAPHIS/2015/08/03/file_attachments/413643/DA-2015-42%2BChile%2Bmedfly%2Bcommodities.pdf,,,,,,,,,No,No,No,Yes,Not applicable,,Mediterranean fruit fly host commodities from Chile,,"08 - EDIBLE FRUIT AND NUTS; PEEL OF CITRUS FRUITS OR MELONS; 06 - LIVE TREES AND OTHER PLANTS; BULBS, ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE",[],[],True,False
United States of America,2011-11-15,Proposed Rule: Importation of Dracaena Plants From Costa Rica (Docket No. APHIS-2011-0073),"The Animal and Plant Health Inspection Service (APHIS) is proposing to amend the plants for planting regulations to provide conditions for the importation into the continental United States of Dracaena spp. plants from Costa Rica. These conditions would apply to plants less than 460 mm in length, which are currently allowed to be imported, and would also allow for the importation of plants over 460 mm and up to 1,371.6 mm in length, which are currently prohibited. As a condition of entry, Dracaena spp. plants from Costa Rica would have to be produced in accordance with integrated pest risk management measures that would include requirements for registration of places of production and packinghouses, a pest management plan, inspection for quarantine pests, sanitation, and traceability from place of production through the packing and export facility and to the port of entry into the United States. All Dracaena spp. plants from Costa Rica would also be required to be accompanied by a phytosanitary certificate with an additional declaration stating that all conditions for the importation of the plants have been met and that the consignment of plants has been inspected and found free of quarantine pests. This action would allow for the importation of oversized Dracaena spp. plants from Costa Rica into the United States while continuing to provide protection against the introduction of quarantine pests._x000D_ _x000D_ Federal Register Volume 76, Number 211 (Tuesday, 1 November 2011), Pages 67379-67384",Dracaena plants,"0602 - Live plants incl. their roots, cuttings and slips; mushroom spawn (excl. bulbs, tubers, tuberous roots, corms, crowns and rhizomes, and chicory plants and roots)",,Plant protection (SPS),,Traceability; Pests; Plant health,Costa Rica,2012-01-03 00:00:00,,,Regular notification,http://frwebgate2.access.gpo.gov/cgi-bin/PDFgate.cgi?WAISdocID=B95lNR/0/2/0&WAISaction=retrieve,,,,,,,,,No,No,Yes,No,Yes,,Dracaena plants,,"0602 - Live plants incl. their roots, cuttings and slips; mushroom spawn (excl. bulbs, tubers, tuberous roots, corms, crowns and rhizomes, and chicory plants and roots)",[],['0602'],True,False
United States of America,2011-08-11,"Food Safety Modernization Act Domestic and Foreign Facility Reinspections, Recall, and Importer Reinspection User Fee Rates for Fiscal Year 2012","The US Food and Drug Administration (FDA) is announcing the fiscal year (FY) 2012 fee rates for certain domestic and foreign facility reinspections, failure to comply with a recall order, and importer reinspections that are mandated in the Federal Food, Drug, and Cosmetic Act (the FD&C Act), amended by the FDA Food Safety Modernization Act (FSMA). These fees are effective on 1 October 2011, and will remain in effect through 30 September 2012. Invoices for these fees for FY 2012 will be issued using the fee schedule established in this document. FDA is accepting comments to this document and intends to consider such comments in implementing these user fees in FY 2013. The notice published in the Federal Register on 1 August 2011 76 FR 45820 . The notice can be found at: http://www.gpo.gov/fdsys/pkg/FR-2011-08-01/pdf/2011-19331.pdf._x000D_ _x000D_ FDA recognizes that there is significant international interest in how we are implementing the Food Safety Modernization Act of 2010, and as a result has elected to is notify this action to give US trading partners an opportunity to submit comments on the burden of fee amounts on small business, even though this notification is not an obligation under Article 7, Annex B._x000D_ _x000D_ http://members.wto.org/crnattachments/2011/sps/USA//11_2684_00_e.pdf",,,,Food safety (SPS); Protect humans from animal/plant pest or disease (SPS),,"Food safety; Human health; Certification, control and inspection",,2011-10-31 00:00:00,,,Addendum to Regular Notification,http://members.wto.org/crnattachments/2011/sps/USA//11_2684_00_e.pdf,,,,,,,,,,,,,,,,,,[],[],True,False
United States of America,2011-08-11,Burden of Food and Drug Administration Food Safety Modernization Act Fee Amounts on Small Business; Request for Comments,"The Food and Drug Administration (FDA) seeks comments to obtain information that will be used to formulate a proposed set of guidelines in consideration of the burden of fee amounts on small business, as set forth in the FDA Food Safety Modernization Act (FSMA). FSMA provides the Agency with authority under the Federal Food, Drug, and Cosmetic Act (the FD&C Act) to assess and collect user fees, including those for costs associated with certain domestic and foreign facility reinspections, failure to comply with a recall order, and importer reinspections. FDA is seeking public comment on what burdens these fees impose on small business, and whether and how the FDA should alleviate such burdens. In particular, the FDA is seeking public comments on whether a reduction of fees or other consideration for small business is appropriate, and if so, what factors FDA should consider for each. In addition, FDA is seeking public comment on how small business should be defined or recognized. FDA is establishing this docket in order to provide an opportunity for interested parties to provide data and share views that will inform future FDA actions with respect to these matters. The notice published in the Federal Register on 1 August 2011 76 FR 45818._x000D_ _x000D_ FDA recognizes that there is significant international interest in how we are implementing the Food Safety Modernization Act of 2010, and as a result has elected to is notify this action to give US trading partners an opportunity to submit comments on the burden of fee amounts on small business, even though this notification is not an obligation under Article 7, Annex B. The notice can be found at: http://www.gpo.gov/fdsys/pkg/FR-2011-08-01/pdf/2011-19333.pdf._x000D_ _x000D_ http://members.wto.org/crnattachments/2011/sps/USA//11_2685_00_e.pdf",,,,Food safety (SPS); Protect humans from animal/plant pest or disease (SPS),,"Food safety; Human health; Certification, control and inspection",,2011-10-17 00:00:00,,,Addendum to Regular Notification,http://members.wto.org/crnattachments/2011/sps/USA//11_2685_00_e.pdf,,,,,,,,,,,,,,,,,,[],[],True,False
United States of America,2013-12-12,Food Additives Permitted for Direct Addition to Food for Human Consumption; Acacia (Gum Arabic); Final Rule,The Food and Drug Administration is amending the food additive regulations to provide for the expanded safe use of acacia (gum arabic) in foods. This action is in response to a petition filed by Nexira. This rule is effective 6 December 2013._x000D_ http://members.wto.org/crnattachments/2013/SPS/USA/13_4796_00_e.pdf,,130120 - Natural gum Arabic,,Food safety (SPS); Protect humans from animal/plant pest or disease (SPS),,Adoption/publication/entry into force of reg.,,2014-01-06 00:00:00,,,Addendum to Regular Notification,http://members.wto.org/crnattachments/2013/SPS/USA/13_4796_00_e.pdf,,,,,,,,,,,,,,,,,130120 - Natural gum Arabic,[],[],True,False
United States of America,2013-01-10,"Standards for the Growing, Harvesting, Packing, and Holding of Produce for Human Consumption, Proposed Rule","To minimize the risk of serious adverse health consequences or death from consumption of contaminated produce, the US Food and Drug Administration (FDA) is proposing to establish science-based minimum standards for the safe growing, harvesting, packing, and holding of produce, meaning fruits and vegetables grown for human consumption. FDA is proposing these standards as part of our implementation of the FDA Food Safety Modernization Act (FSMA). These standards would not apply to produce that is rarely consumed raw, produce for personal or on-farm consumption, or produce that is not a raw agricultural commodity. In addition, produce that receives commercial processing that adequately reduces the presence of microorganisms of public health significance would be eligible for exemption from the requirements of this rule. The proposed rule would set forth procedures, processes, and practices that minimize the risk of serious adverse health consequences or death, including those reasonably necessary to prevent the introduction of known or reasonably foreseeable biological hazards into or onto produce and to provide reasonable assurances that the produce is not adulterated on account of such hazards. We expect that the proposed rule, if finalized as proposed, would reduce foodborne illness associated with the consumption of contaminated produce._x000D_ The proposed rule would apply to both domestic and imported produce. However, as explained in the document, the proposed rule contains several exemptions.","Fruits and vegetables grown for human consumption, sprouts. HS Code(s): 07, 08, 0708; ICS Code(s): 65, 67, 67.080, 65.020, 65.040, 65.060.","0708 - Leguminous vegetables, shelled or unshelled, fresh or chilled; 08 - EDIBLE FRUIT AND NUTS; PEEL OF CITRUS FRUITS OR MELONS; 07 - EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS","65 - AGRICULTURE; 65.020 - Farming and forestry; 65.040 - Farm buildings, structures and installations; 65.060 - Agricultural machines, implements and equipment; 67 - FOOD TECHNOLOGY; 67.080 - Fruits. Vegetables",Food safety (SPS); Protect humans from animal/plant pest or disease (SPS),,Human health; Food safety; Packaging; Contaminants; Bacteria,,2013-05-16 00:00:00,,,Regular notification,http://members.wto.org/crnattachments/2013/sps/USA/13_0145_00_e.pdf https://s3.amazonaws.com/public-inspection.federalregister.gov/2013-00123.pdf,,,,,,,,,Yes,No,No,No,Yes,,"Fruits and vegetables grown for human consumption, sprouts. HS Code(s): 07, 08, 0708; ICS Code(s): 65, 67, 67.080, 65.020, 65.040, 65.060.","65 - AGRICULTURE; 65.020 - Farming and forestry; 65.040 - Farm buildings, structures and installations; 65.060 - Agricultural machines, implements and equipment; 67 - FOOD TECHNOLOGY; 67.080 - Fruits. Vegetables","0708 - Leguminous vegetables, shelled or unshelled, fresh or chilled; 08 - EDIBLE FRUIT AND NUTS; PEEL OF CITRUS FRUITS OR MELONS; 07 - EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS","['65.020', '65.040', '65.060', '67.080']",['0708'],True,False
United States of America,2013-01-18,"Current Good Manufacturing Practice and Hazard Analysis and Risk-Based Preventive Controls for Human Food, Proposed Rule","The Food and Drug Administration (FDA) is proposing to amend its regulation for Current Good Manufacturing Practice In Manufacturing, Packing, or Holding Human Food (CGMPs) to modernize it and to add requirements for domestic and foreign facilities that are required to register under the Federal Food, Drug, and Cosmetic Act (the FD&C Act) to establish and implement hazard analysis and risk-based preventive controls for human food. FDA also is proposing to revise certain definitions in FDAs current regulation for Registration of Food Facilities to clarify the scope of the exemption from registration requirements provided by the FD&C Act for farms. FDA is taking this action as part of its announced initiative to revisit the CGMPs since they were last revised in 1986 and to implement new statutory provisions in the FD&C Act. The proposed rule is intended to build a food safety system for the future that makes modern, science-, and risk-based preventive controls the norm across all sectors of the food system. The proposed rule would apply to both domestic and foreign facilities. However, as explained in the remainder of this document, the proposed rule contains several exemptions._x000D_ As mentioned in the original notification, G/SPS/N/USA/2502, the proposed has now been officially published in the US Federal Register, and this addendum provides an electronic link to the proposed rule: http://www.gpo.gov/fdsys/pkg/FR-2013-01-16/pdf/2013-00125.pdf_x000D_ http://members.wto.org/crnattachments/2013/sps/USA/13_0299_00_e.pdf",,"10 - CEREALS; 12 - OIL SEEDS AND OLEAGINOUS FRUITS; MISCELLANEOUS GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER; 05 - PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED; 16 - PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES; 17 - SUGARS AND SUGAR CONFECTIONERY; 11 - PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN; 03 - FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES; 04 - DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED; 08 - EDIBLE FRUIT AND NUTS; PEEL OF CITRUS FRUITS OR MELONS; 19 - PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS' PRODUCTS; 21 - MISCELLANEOUS EDIBLE PREPARATIONS; 13 - LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS; 15 - ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PREPARED EDIBLE FATS; ANIMAL OR VEGETABLE WAXES; 18 - COCOA AND COCOA PREPARATIONS; 20 - PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS; 07 - EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS; 09 - COFFEE, TEA, MATÉ AND SPICES; 22 - BEVERAGES, SPIRITS AND VINEGAR",,Food safety (SPS); Protect humans from animal/plant pest or disease (SPS),,Food safety; Packaging; Human health,,2013-05-16 00:00:00,,,Addendum to Regular Notification,http://members.wto.org/crnattachments/2013/sps/USA/13_0299_00_e.pdf,,,,,,,,,,,,,,,,,"10 - CEREALS; 12 - OIL SEEDS AND OLEAGINOUS FRUITS; MISCELLANEOUS GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER; 05 - PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED; 16 - PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES; 17 - SUGARS AND SUGAR CONFECTIONERY; 11 - PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN; 03 - FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES; 04 - DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED; 08 - EDIBLE FRUIT AND NUTS; PEEL OF CITRUS FRUITS OR MELONS; 19 - PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS' PRODUCTS; 21 - MISCELLANEOUS EDIBLE PREPARATIONS; 13 - LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS; 15 - ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PREPARED EDIBLE FATS; ANIMAL OR VEGETABLE WAXES; 18 - COCOA AND COCOA PREPARATIONS; 20 - PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS; 07 - EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS; 09 - COFFEE, TEA, MATÉ AND SPICES; 22 - BEVERAGES, SPIRITS AND VINEGAR",[],[],True,False
