country,isic2,upstreamness,downstreamness,u_n,u_d,d_n,d_d,dd_logU,centrality
IDN,1,2.132969687083969,1.617651468311156,22004252.46503899,10483368.25949021,7495488.179483877,5167663.167172449,.75751525,.75840342
IDN,2,2.420603585702161,1.64725149272311,15134040.79823827,7209318.801332154,5153305.234256526,3552860.09256302,.88401693,.68051273
IDN,3,1.89782228043701,1.569095513193339,21932795.03396033,10452230.18070519,7461555.004137075,5150724.176784143,.64070708,.82678735
IDN,5,3.558208166551521,1.632484858635487,39939708.19508162,10806968.33720127,2221081.856918187,1513291.291206598,1.2692571,.45879409
IDN,6,3.558208166551522,1.632484858635488,39939708.19508162,10806968.33720127,2221081.856918187,1513291.291206598,1.2692571,.45879409
IDN,7,3.558208166551522,1.632484858635487,39939708.19508163,10806968.33720127,2221081.856918187,1513291.291206598,1.2692571,.45879409
IDN,8,3.558208166551522,1.632484858635488,39939708.19508162,10806968.33720127,2221081.856918187,1513291.291206598,1.2692571,.45879409
IDN,9,3.558208166551522,1.632484858635487,39939708.19508163,10806968.33720127,2221081.856918187,1513291.291206598,1.2692571,.45879409
IDN,10,1.583554016645545,2.150166097006903,10977947.46904048,7339312.560459968,26041281.57861693,13013420.13016381,.45967171,.73647988
IDN,11,1.583554016645545,2.150166097006903,10977947.46904048,7339312.560459968,26041281.57861694,13013420.13016381,.45967171,.73647988
IDN,12,1.583554016645545,2.150166097006904,10977947.46904048,7339312.560459969,26041281.57861693,13013420.13016381,.45967171,.73647988
IDN,13,1.449722673810263,2.509465330607281,3340890.069555652,1599398.166030673,4658649.109539486,1963694.595540968,.37137228,.57770181
IDN,14,1.449722673810263,2.509465330607281,3340890.069555652,1599398.166030673,4658649.109539486,1963694.595540968,.37137228,.57770181
IDN,15,1.449722673810263,2.509465330607281,3340890.069555652,1599398.166030673,4658649.109539486,1963694.595540968,.37137228,.57770181
IDN,16,2.542524924856852,2.135049128213238,6824118.170030132,2448665.847953804,1336645.071333177,640049.7006328731,.93315762,.83973575
IDN,17,3.092381591059813,2.396722020768726,6834881.704986705,2451241.010189735,1339401.068826714,641097.3681293324,1.1289415,.77504086
IDN,18,3.092381591059813,2.396722020768726,6834881.704986705,2451241.010189735,1339401.068826714,641097.3681293324,1.1289415,.77504086
IDN,19,2.728856272053058,2.181454371209654,12314914.04003964,4698509.535203113,5736243.224644192,2832889.482773802,1.0038825,.79940242
IDN,20,2.830627943529248,2.352683184222136,12294167.56137622,4690401.705273069,5726127.919794737,2827882.127860867,1.0404986,.83115238
