source,sect,isic2
eora,1,01
eora,1,02
eora,1,03
eora,2,05
eora,2,06
eora,2,07
eora,2,08
eora,2,09
eora,3,05
eora,3,06
eora,3,07
eora,3,08
eora,3,09
eora,4,10
eora,4,11
eora,4,12
eora,5,13
eora,5,14
eora,5,15
eora,6,16
eora,6,17
eora,6,18
eora,7,19
eora,7,20
eora,7,21
eora,7,22
eora,7,23
eora,8,24
eora,8,25
eora,9,26
eora,9,27
eora,9,28
eora,10,29
eora,10,30
eora,11,31
eora,11,32
eora,11,33
eora,12,38
eora,13,35
eora,13,36
eora,13,37
eora,13,38
eora,13,39
eora,14,41
eora,14,42
eora,14,43
eora,15,45
eora,15,46
eora,15,47
eora,16,45
eora,16,46
eora,16,47
eora,17,45
eora,17,46
eora,17,47
eora,18,55
eora,18,56
eora,19,49
eora,19,50
eora,19,51
eora,19,52
eora,19,53
eora,20,61
eora,20,62
eora,20,63
eora,21,64
eora,21,65
eora,21,66
eora,22,84
eora,23,85
eora,23,86
eora,23,87
eora,23,88
eora,24,97
eora,25,99
eora,26,99
wiodo,1,01
wiodo,1,02
wiodo,1,03
wiodo,2,05
wiodo,2,06
wiodo,2,07
wiodo,2,08
wiodo,2,09
wiodo,3,10
wiodo,3,11
wiodo,3,12
wiodo,4,13
wiodo,4,14
wiodo,4,15
wiodo,5,13
wiodo,5,14
wiodo,5,15
wiodo,6,16
wiodo,7,17
wiodo,7,18
wiodo,8,19
wiodo,9,20
wiodo,10,22
wiodo,11,23
wiodo,12,24
wiodo,12,25
wiodo,13,28
wiodo,14,26
wiodo,15,29
wiodo,15,30
wiodo,16,31
wiodo,16,32
wiodo,16,33
wiodo,17,35
wiodo,17,36
wiodo,17,37
wiodo,17,38
wiodo,17,39
wiodo,18,41
wiodo,18,42
wiodo,18,43
wiodo,19,45
wiodo,19,46
wiodo,19,47
wiodo,20,45
wiodo,20,46
wiodo,20,47
wiodo,21,45
wiodo,21,46
wiodo,21,47
wiodo,22,55
wiodo,22,56
wiodo,23,49
wiodo,24,50
wiodo,25,51
wiodo,26,52
wiodo,27,61
wiodo,27,62
wiodo,27,63
wiodo,28,64
wiodo,29,68
wiodo,30,69
wiodo,30,70
wiodo,30,71
wiodo,30,72
wiodo,30,73
wiodo,30,74
wiodo,30,75
wiodo,31,84
wiodo,32,85
wiodo,33,86
wiodo,34,90
wiodo,34,91
wiodo,34,92
wiodo,34,93
wiodo,34,94
wiodo,34,95
wiodo,34,96
tiva,1,01
tiva,1,02
tiva,2,02
tiva,3,03
tiva,4,05
tiva,4,06
tiva,4,07
tiva,4,08
tiva,4,09
tiva,9,10
tiva,9,11
tiva,9,12
tiva,10,13
tiva,10,14
tiva,10,15
tiva,11,16
tiva,12,17
tiva,12,18
tiva,13,19
tiva,14,20
tiva,15,21
tiva,16,22
tiva,17,23
tiva,18,24
tiva,19,24
tiva,20,25
tiva,21,26
tiva,22,27
tiva,23,28
tiva,24,29
tiva,25,30
tiva,26,30
tiva,27,31
tiva,27,32
tiva,27,33
tiva,28,35
tiva,29,36
tiva,29,37
tiva,29,38
tiva,29,39
tiva,30,41
tiva,30,42
tiva,30,43
tiva,31,45
tiva,31,46
tiva,31,47
tiva,32,49
tiva,33,50
tiva,34,51
tiva,35,52
tiva,36,53
tiva,37,55
tiva,38,58
tiva,38,59
tiva,38,60
tiva,39,61
tiva,39,62
tiva,39,63
tiva,40,62
tiva,40,63
tiva,41,64
tiva,41,65
tiva,41,66
tiva,42,68
tiva,43,69
tiva,43,70
tiva,43,71
tiva,43,72
tiva,43,73
tiva,43,74
tiva,43,75
tiva,44,77
tiva,44,78
tiva,44,79
tiva,44,80
tiva,44,81
tiva,44,82
tiva,45,84
tiva,46,85
tiva,47,86
tiva,47,87
tiva,47,88
tiva,48,90
tiva,48,91
tiva,48,92
tiva,48,93
tiva,49,94
tiva,49,95
tiva,49,96
tiva,50,97
tiva,50,98
tiva,50,99
adb,1,01
adb,1,02
adb,1,03
adb,2,05
adb,2,06
adb,2,07
adb,2,08
adb,2,09
adb,3,10
adb,3,11
adb,3,12
adb,4,13
adb,4,14
adb,4,15
adb,5,13
adb,5,14
adb,5,15
adb,6,16
adb,7,17
adb,7,18
adb,8,19
adb,9,20
adb,10,22
adb,11,23
adb,12,24
adb,12,25
adb,13,28
adb,14,26
adb,15,29
adb,15,30
adb,16,31
adb,16,32
adb,16,33
adb,17,35
adb,17,36
adb,17,37
adb,17,38
adb,17,39
adb,18,41
adb,18,42
adb,18,43
adb,19,45
adb,19,46
adb,19,47
adb,20,45
adb,20,46
adb,20,47
adb,21,45
adb,21,46
adb,21,47
adb,22,55
adb,22,56
adb,23,49
adb,24,50
adb,25,51
adb,26,52
adb,27,61
adb,27,62
adb,27,63
adb,28,64
adb,29,68
adb,30,69
adb,30,70
adb,30,71
adb,30,72
adb,30,73
adb,30,74
adb,30,75
adb,31,84
adb,32,85
adb,33,86
adb,34,90
adb,34,91
adb,34,92
adb,34,93
adb,34,94
adb,34,95
adb,34,96
